[error angular_vel]
 [ 4.49454906e-02 -3.69580000e-07]
 [ 4.85753716e-02 -3.69579000e-07]
 [ 4.49054454e-02 -3.69579000e-07]
 [ 4.79663763e-02 -3.73266000e-07]
 [ 4.49054454e-02 -3.73266000e-07]
 [ 4.85413718e-02 -3.72784000e-07]
 [ 4.48594458e-02 -3.72784000e-07]
 [ 4.79263766e-02 -3.83891000e-07]
 [ 4.48344461e-02 -3.83891000e-07]
 [ 4.84943722e-02 -3.69515000e-07]
 [ 4.48074464e-02 -3.69515000e-07]
 [ 4.78793770e-02 -3.69496000e-07]
 [ 4.54794848e-02 -3.69496000e-07]
 [ 4.84453726e-02 -3.76866000e-07]
 [ 4.54794848e-02 -3.76866000e-07]
 [ 4.84363727e-02 -3.93834000e-07]
 [ 4.54514851e-02 -3.93834000e-07]
 [ 4.84193728e-02 -3.48094000e-07]
 [ 4.54514851e-02 -3.48094000e-07]
 [ 4.83983729e-02 -3.53374000e-07]
 [ 4.47294930e-02 -3.53374000e-07]
 [ 4.83893730e-02 -3.69386000e-07]
 [ 4.47194472e-02 -3.69386000e-07]
 [ 4.83723731e-02 -3.72434000e-07]
 [ 4.47004474e-02 -3.69364000e-07]
 [ 4.83563733e-02 -3.69342000e-07]
 [ 4.46824476e-02 -3.69342000e-07]
 [ 4.83363734e-02 -3.69327000e-07]
 [ 4.53594861e-02 -3.69327000e-07]
 [ 4.83173736e-02 -3.69276000e-07]
 [ 4.46374481e-02 -3.69276000e-07]
 [ 4.83083736e-02 -3.69254000e-07]
 [ 4.53264412e-02 -3.69254000e-07]
 [ 4.82863738e-02 -3.79676000e-07]
 [ 4.52694871e-02 -3.79676000e-07]
 [ 4.82563740e-02 -3.69217000e-07]
 [ 4.52694871e-02 -3.69217000e-07]
 [ 3.49210882e-03 -3.69217000e-07]
 [ 4.82373742e-02 -3.69195000e-07]
 [ 4.52494873e-02 -3.69195000e-07]
 [ 4.82283743e-02 -3.57563000e-07]
 [ 4.52374421e-02 -3.57563000e-07]
 [ 4.82013745e-02 -3.69128000e-07]
 [ 4.51994425e-02 -3.69128000e-07]
 [ 5.58352239e-02 -3.69128000e-07]
 [ 4.81943745e-02 -3.69098000e-07]
 [ 4.51994425e-02 -3.69098000e-07]
 [ 5.58352239e-02 -3.69098000e-07]
 [ 4.87623702e-02 -3.69098000e-07]
 [ 4.51754427e-02 -3.69098000e-07]
 [ 5.49632750e-02 -3.69098000e-07]
 [ 4.87463703e-02 -3.87507000e-07]
 [ 4.51584429e-02 -3.87507000e-07]
 [ 4.87203705e-02 -3.83771000e-07]
 [ 4.51274432e-02 -3.83771000e-07]
 [ 5.49383866e-02 -3.83771000e-07]
 [ 4.86723708e-02 -3.55823000e-07]
 [ 4.50764892e-02 -3.55823000e-07]
 [ 4.86723708e-02 -3.68965000e-07]
 [ 4.50764892e-02 -3.68965000e-07]
 [ 4.86643709e-02 -3.68943000e-07]
 [ 4.50374896e-02 -3.68943000e-07]
 [ 5.55744585e-02 -3.68943000e-07]
 [ 4.86373711e-02 -3.76299000e-07]
 [ 4.50274897e-02 -3.76299000e-07]
 [ 5.55584595e-02 -3.76299000e-07]
 [ 4.86283712e-02 -3.65325000e-07]
 [ 4.50274897e-02 -3.65325000e-07]
 [ 5.55584595e-02 -3.65325000e-07]
 [ 4.86123713e-02 -3.59145000e-07]
 [ 4.49874446e-02 -3.59145000e-07]
 [ 5.63173037e-02 -3.59145000e-07]
 [ 4.85933715e-02 -3.68862000e-07]
 [ 4.49874446e-02 -3.68862000e-07]
 [ 5.63173037e-02 -3.68862000e-07]
 [ 4.85753716e-02 -3.58667000e-07]
 [ 4.49324907e-02 -3.58667000e-07]
 [ 5.62304182e-02 -3.58667000e-07]
 [ 4.85423718e-02 -3.68795000e-07]
 [ 4.49324907e-02 -3.68795000e-07]
 [ 5.62304182e-02 -3.68795000e-07]
 [ 4.85283719e-02 -3.68765000e-07]
 [ 4.49164909e-02 -3.68765000e-07]
 [ 5.62044198e-02 -3.68765000e-07]
 [ 4.85113721e-02 -3.68721000e-07]
 [ 4.48954455e-02 -3.68721000e-07]
 [ 5.53292533e-02 -3.68721000e-07]
 [ 4.84963722e-02 -3.68699000e-07]
 [ 4.48784457e-02 -3.68699000e-07]
 [ 5.52992551e-02 -3.68699000e-07]
 [ 4.84793723e-02 -3.68677000e-07]
 [ 4.48594458e-02 -3.68677000e-07]
 [ 5.52682569e-02 -3.68677000e-07]
 [ 4.84613725e-02 -3.68655000e-07]
 [ 4.48404460e-02 -3.68655000e-07]]

