0.703737,2.42462,0.272906
0.70238,2.37354,0.27247
0.702068,2.40838,0.276342
0.702076,2.38215,0.276397
0.697853,1.81319,0.291365
-1.17548,0.00444639,0.277345
-1.17774,0.00570854,0.281843
-1.17459,0.0497167,0.284741
-1.17434,0.0833159,0.288176
-1.17574,0.0434001,0.281675
0.205492,1.92022,0.282462
0.206641,1.91444,0.27524
0.206641,1.91444,0.27524
0.206931,1.91149,0.273406
0.202754,2.49633,0.283206
0.203478,2.4403,0.282299
0.203478,2.4403,0.282299
0.206947,2.46755,0.282726
0.206842,2.47843,0.284139
0.20678,2.50294,0.285649
0.203769,2.43092,0.279195
-1.67477,-0.191217,0.270226
-1.67095,-0.236097,0.268871
-1.67095,-0.236097,0.268871
-1.67332,-0.19202,0.271435
